Institution,Medium,Access,Month,Day,Year,Narrator,Creator,Location_Tags,Topic_Tags,Description,Link
Center of Southwest Studies,"Audio, Transcript","Restricted (no release), Contact Institution",September,7,1989,Alice Paxton,Duane Smith,"Hesperus, La Plata County",Education & Schools,"College students--Colorado--Hesperus--Biography
Teachers--Colorado--Biography Fort Lewis (Colo.)--History; About Narrator: Fort Lewis school alumna.; Collection:U001: FLC Oral Histories - BOX 15 ; Notes:Transcribed by Center of Southwest Studies staff on Jan. 16, 1990.;",
Center of Southwest Studies,Audio,Contact Institution,November,22,2001,Allan Ferrell,Autumn Holland,,,"Oral history interview with Allan Ferrell by Autumn Holland; About Narrator: No info provided.; Collection:M 063: Richard Ellis Papers - BOX 48 ; Notes:Interview conducted by a student in SW 330: Cowboys, Cattlemen and Popular Culture class.; 2005:11002.017 / Accn written on tape 2005:11002.057",
Center of Southwest Studies,Audio,Contact Institution,April,19,1991,Allen Mullen,E. Polly Hammer,,Forestry,No general subjects listed.; About Narrator: No info provided.; Collection:U.S. Forest Service ; Notes: ; Copy Tape #1 1991-05-27.,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,November,11,1976,Alton Dorsett,Duane A. Smith,La Plata County,,Cities and towns--Colorado--Animas City--History Animas City (Colo.)--Annexation; About Narrator: No info provided.; Collection:U003: Durango Oral Histories ; Notes:Release signed by his son Terry and transcription given to him in person on 8/25/2005.;,
Center of Southwest Studies,"Audio, Transcript",Contact Institution,September,20,1989,Alva F. Lyons,Rae Haynes,"Durango, La Plata County",Railroad,"Narrow gauge railroads Railroads Durango (Colo.)--History; About Narrator: No info provided.; Collection:U003: Durango Oral Histories-Box 10 ; Notes:Pertaining to the Denver and Rio Grande Railroad. Transcribed by Catherine Conrad at the Southwest Studies Center, Nov. 12, 1990; edited by Todd Ellison on April 4, 1996. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel, and by Rae Haynes on 3/14/06.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,September,27,1989,Alva F. Lyons,Rae Haynes,"Durango, La Plata County","Daily Life, Youth","Durango (Colo.)--History; About Narrator: No info provided.; Collection:U003: Durango Oral Histories-Box 10 ; Notes:On growing up in Durango. Transcribed by Catherine Conrad, Southwest Studies Center, on Nov. 18, 1990; edited by Todd Ellison on April 4, 1996. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel, and by Rae Haynes on 3/14/06.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,October,26,1989,Alva F. Lyons,Rae Haynes,"Durango, La Plata County",Daily Life,"Streets--Colorado--Durango--History Houses--Colorado--Durango Third Ave. (Durango, Colo.); About Narrator: No info provided.; Collection:U003: Durango Oral Histories-Box 11 ; Notes:Tour of Third Ave., circa 1910. Transcribed by Catherine Conrad, Southwest Studies Center, Feb. 21, 1991; edited by Todd Ellison on April 4, 1996. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel, and by Rae Haynes on 3/14/06.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,November,10,1989,Alva F. Lyons,Rae Haynes,"Durango, La Plata County",Railroad,"Railroads--Colorado--Durango Railroads, Narrow-gauge--History Durango (Colo.)--History; About Narrator: No info provided.; Collection:U003: Durango Oral Histories-Box 11 ; Notes:Reminiscences. Transcribed by Catherine Conrad, Southwest Studies Center, April 3, 1991; edited by Todd Ellison on April 4, 1996. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel, and by Rae Haynes on 3/14/06.;",
Center of Southwest Studies,"Audio, Transcript",Contact Institution,November,24,1989,Alva F. Lyons,Rae Haynes,"Durango, La Plata County",Daily Life,"Residences (Durango, Colo.) Houses (Durango, Colo.) Durango (Colo.)--History; About Narrator: No info provided.; Collection:U003: Durango Oral Histories-Box 11 ; Notes:About houses where Mr. Lyons lived. Transcribed by Catherine Conrad, Southwest Studies Center, April 25, 1991; edited by Todd Ellison on April 4, 1996. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel, and by Rae Haynes on 3/14/06.;",
Center of Southwest Studies,"Audio, Transcript",Online,June,25,1982,Alva F. Lyons,Robert W. Delaney,,Railroad,"Trainmen--Colorado--San Juan Basin--Biography 
Narrow gauge railroads--Colorado 
San Juan Basin (Colo.)--History
; About Narrator: No info provided.; Collection:U004: Southwest Oral History - BOX 31 ; Notes:Transcribed by Catherine Conrad on April 3, 1996; edited by Todd Ellison on April 4, 1996. Release signed by Dr. Delaney and Center of Southwest Studies 1/98. Release signed 10/24/2005 by Alva Lyons' daughter Martha McDaniel.; Found in Box #31, updated tape #. TA 11/11/2020; MP3 is available online and and transcript viewable online",https://swcenter.fortlewis.edu/finding_aids/mp3/FLCu004463.sideA.mp3; https://swcenter.fortlewis.edu/finding_aids/mp3/FLCu004463.sideB.mp3; https://swcenter.fortlewis.edu/finding_aids/inventory/LyonsAlva19820625.trn.pdf
